Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,162,Aiken Electric Coop Inc,SC,SC,.,.,206,.,.,0.0,.,.,"27,204",.,.,0.0,.,.,.,.,.,37,.,.,.,.,.,348,.,.
2023,189,PowerSouth Energy Cooperative,AL,SOCO,.,.,"2,550",.,.,2.1,.,.,"28,552",.,.,2.1,.,.,848,.,.,526,.,.,848,.,.,526,.,.
2023,195,Alabama Power Co,AL,SOCO,759,.,"5,767",0.2,.,11.9,"3,797",.,"45,489",0.2,.,11.9,36,.,"1,225",151,.,"1,095",36,.,"1,225",151,.,"1,095",5.000,.
2023,207,Alameda Municipal Power,CA,CISO,111,0,146,0.0,0.0,0.1,"1,460",0,"1,958",0.0,0.0,0.1,23,0,70,146,0,321,23,0,70,146,0,321,13.269,0.000
2023,295,City of Alexandria - (MN),MN,MISO,673,"2,386","3,306",0.1,0.5,0.7,"8,564","30,364","43,191",0.1,0.5,0.7,36,129,187,38,134,194,36,129,187,38,134,194,12.727,12.727
2023,554,City of Ames - (IA),IA,MISO,20,.,189,0.0,.,0.1,170,.,"1,856",0.0,.,0.1,2,.,197,2,.,54,2,.,197,2,.,54,10.000,.
2023,590,City of Anaheim - (CA),CA,CISO,"2,725","1,168","7,242",0.5,0.2,1.5,"31,169","12,612","82,545",0.5,0.2,1.5,827,355,"3,338",278,119,804,827,355,"3,338",278,119,804,11.437,10.798
2023,691,City of Anoka,MN,MISO,"4,462",.,"4,628",0.7,.,0.7,"40,228",.,"41,317",0.7,.,0.7,255,.,259,23,.,115,255,.,259,23,.,115,26.000,.
2023,733,Appalachian Power Co,VA,PJM,"2,200",135,"46,230",5.3,0.3,19.7,"60,552","3,718","495,141",5.3,0.3,19.7,"1,319",81,"9,150","1,584",97,"7,650","1,319",81,"9,150","1,584",97,"7,650",27.525,27.521
2023,733,Appalachian Power Co,WV,PJM,0,.,"2,436",.,.,1.0,.,.,"30,113",.,.,1.0,.,.,"2,143",.,.,"1,399",.,.,"2,143",.,.,"1,399",.,.
2023,803,Arizona Public Service Co,AZ,AZPS,"204,113",0,"313,784",38.7,0.0,105.8,"2,733,360",0,"4,075,898",38.7,0.0,105.8,"12,162",0,"27,508","13,183",0,"26,286","12,162",0,"27,508","13,183",0,"26,286",13.400,0.000
2023,814,Entergy Arkansas LLC,AR,MISO,"67,746","93,786","279,833",12.0,11.0,47.0,"701,403","884,079","3,278,686",12.0,11.0,47.0,"6,649","6,738","31,706","3,721","6,115","16,582","6,649","6,738","31,706","3,721","6,115","16,582",14.700,12.500
2023,924,"Associated Electric Coop, Inc",MO,SWPP,468,6,"5,727",1.2,0.0,2.4,"7,017",86,"109,661",1.2,0.0,2.4,308,5,"2,132",11,0,164,308,5,"2,132",11,0,164,13.000,13.000
2023,963,Atlantic City Electric Co,NJ,PJM,"30,169",.,"63,700",4.4,.,8.5,"428,498",.,"804,835",4.4,.,8.5,"7,106",.,"11,550","5,231",.,"13,123","7,106",.,"11,550","5,231",.,"13,123",14.200,.
2023,1009,City of Austin - (MN),MN,MISO,969,97,"1,275",0.2,0.0,0.2,"9,685",970,"12,747",0.2,0.0,0.2,110,8,172,64,18,131,110,8,172,64,18,131,10.000,10.000
2023,1015,Austin Energy,TX,ERCO,"62,433","20,811","111,939",21.8,7.3,39.4,"998,927","332,976","1,877,114",21.8,7.3,39.4,"2,336",779,"13,018","2,128",709,"7,695","2,336",779,"13,018","2,128",709,"7,695",16.000,16.000
2023,1050,City of Azusa,CA,CISO,"2,335",120,"2,668",0.7,0.0,0.8,"32,858","1,800","36,800",0.7,0.0,0.8,"1,030",20,"1,135",297,16,334,"1,030",20,"1,135",297,16,334,14.207,15.000
2023,1167,Baltimore Gas & Electric Co,MD,PJM,"150,232",0,"370,013",23.1,0.0,68.1,"1,775,688",0,"2,582,317",23.1,0.0,68.1,"46,101",0,"87,375","13,735",0,"33,022","46,101",0,"87,375","13,735",0,"33,022",11.820,0.000
2023,1251,Barron Electric Coop,WI,MISO,.,.,247,.,.,0.0,.,.,"4,952",.,.,0.0,.,.,65,.,.,72,.,.,65,.,.,72,0.000,.
2023,1273,"Bartlett Electric Coop, Inc",TX,ERCO,0,0,20,0.0,0.0,0.0,0,0,251,0.0,0.0,0.0,0,0,4,0,0,1,0,0,24,0,0,1,0.000,0.000
2023,1366,City of Bay City - (MI),MI,MISO,"1,719",.,"2,960",0.2,.,0.3,"24,093",.,"31,144",0.1,.,0.3,209,.,420,98,.,170,209,.,420,98,.,170,14.020,.
2023,1529,"Beltrami Electric Coop, Inc",MN,MISO,793,.,"4,921",0.1,.,1.2,"9,834",.,"61,229",0.1,.,1.2,53,.,336,2,.,197,53,.,336,2,.,197,12.359,.
2023,1579,PUD No 1 of Benton County,WA,BPAT,"1,806","2,980","6,187",0.5,0.4,1.6,"5,679","20,489","49,497",0.5,0.4,1.6,168,455,"1,038",115,49,525,168,455,"1,038",115,49,525,12.400,11.200
2023,1613,Berkeley Electric Coop Inc,SC,SC,449,.,982,0.1,.,1.2,"4,491",.,"9,930",0.1,.,1.2,17,.,172,1,.,100,17,.,172,1,.,100,10.000,.
2023,1723,"Big Bend Electric Coop, Inc",WA,BPAT,20,"1,274","1,363",0.0,0.4,0.5,301,"12,570","14,045",0.0,0.4,0.4,24,667,748,9,127,171,24,667,748,9,127,171,15.000,9.870
2023,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,.,.,135,.,.,1.0,.,.,"1,320",.,.,1.0,.,.,19,.,.,.,.,.,19,.,.,.,.,.
2023,2008,City of Boulder City - (NV),NV,WALC,.,.,45,.,.,.,.,.,512,.,.,.,.,.,15,.,.,.,.,.,15,.,.,11,.,.
2023,2089,Bozrah Light & Power Company,CT,ISNE,2,0,60,.,0.0,0.0,30,0,583,.,0.0,0.0,9,0,166,1,0,40,9,0,166,1,0,40,15.000,0.000
2023,2285,City of Brookings - (SD),SD,WACM,96,321,646,0.0,0.1,0.1,"1,219","4,082","9,359",0.0,0.1,0.1,6,21,41,7,22,43,6,21,41,7,22,43,12.731,12.731
2023,2442,City of Bryan - (TX),TX,ERCO,894,.,"1,166",0.2,.,0.3,"8,938",.,"11,663",0.1,.,0.1,101,.,208,42,.,123,101,.,208,42,.,123,10.000,.
2023,2507,City of Burbank Water and Power,CA,LDWP,"4,043",0,"5,319",1.3,0.0,1.7,"61,501",0,"68,110",1.3,0.0,1.7,251,0,"1,162",548,0,607,251,0,"1,162",548,0,607,15.303,0.000
2023,2548,City of Burlington Electric - (VT),VT,ISNE,"2,434",.,"2,922",0.4,.,0.5,"36,510",.,"43,342",0.4,.,0.5,730,.,"1,100",629,.,"1,034",730,.,"1,100",629,.,"1,034",15.000,.
2023,2643,Butler Public Power District - (NE),NE,SWPP,127,519,703,0.0,0.0,0.0,"1,401","3,448","5,705",0.0,0.0,0.0,5,38,64,3,33,37,5,38,64,3,33,37,11.000,6.641
2023,3046,Duke Energy Progress - (NC),NC,CPLE,"67,958",.,"346,039",12.2,.,64.9,"944,074",.,"3,080,832",12.2,.,64.9,"9,743",.,"38,919","6,589",.,"21,569","9,743",.,"38,919","6,589",.,"21,569",13.892,.
2023,3046,Duke Energy Progress - (NC),SC,CPLE,"11,211",.,"57,087",2.0,.,10.7,"155,747",.,"508,254",2.0,.,10.7,"1,607",.,"6,421","1,087",.,"3,558","1,607",.,"6,421","1,087",.,"3,558",13.892,.
2023,3107,Carteret-Craven El Member Corp,NC,CPLE,308,.,"2,302",0.0,.,0.2,"5,236",.,"7,279",0.0,.,0.3,0,.,1,304,.,319,0,.,1,304,.,319,17.000,.
2023,3203,Cedar Falls Utilities,IA,MISO,326,686,"1,819",0.2,0.1,0.6,"6,102","4,294","23,366",0.2,0.1,0.6,67,7,231,18,3,328,67,7,231,18,3,328,13.812,9.020
2023,3205,Cedar-Knox Public Power Dist,NE,SWPP,48,43,211,0.0,0.0,0.0,535,412,"2,843",0.0,0.0,0.0,3,4,43,3,3,16,3,4,43,3,3,16,11.091,9.548
2023,3240,Central Electric Coop Inc - (OR),OR,BPAT,"1,343",8,"2,393",0.2,0.0,0.4,"17,019",75,"36,451",0.2,0.0,0.4,229,2,948,.,.,.,229,2,948,.,.,.,12.670,10.000
2023,3245,"Central Florida Elec Coop, Inc",FL,SEC,28,0,115,0.0,0.0,0.0,352,0,"1,659",0.0,0.0,0.0,0,0,0,41,0,132,0,0,0,41,0,132,12.367,0.000
2023,3248,Central Georgia El Member Corp,GA,SOCO,.,.,107,.,.,0.0,.,.,"1,242",.,.,0.0,.,.,13,.,.,13,.,.,13,.,.,13,.,.
2023,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"15,932",.,"53,411",.,.,.,"179,868",.,"680,730",.,.,.,"3,359",.,"6,315",401,.,"1,487","3,360",.,"6,316",401,.,"1,487",11.290,.
2023,3258,Central Iowa Power Cooperative,IA,MISO,1,0,12,0.0,0.0,1.3,6,6,182,0.0,0.2,1.5,21,11,613,2,2,130,21,11,613,2,2,130,9.272,16.048
2023,3264,Central Lincoln People's Ut Dt,OR,BPAT,608,932,"2,992",0.1,0.1,0.6,"8,413","14,356","51,937",0.1,0.1,0.6,104,253,"1,222",27,41,132,104,253,"1,222",27,41,132,13.846,15.400
2023,3265,Cleco Power LLC,LA,MISO,"13,890","1,277","34,178",4.1,0.4,8.3,"169,316","18,812","482,917",4.1,0.4,8.3,"1,459",110,"3,585",767,47,"2,504","1,459",110,"3,585",767,47,"2,504",12.200,14.700
2023,3278,AEP Texas Central Company,TX,ERCO,"8,925",0,"13,361",6.2,0.0,8.6,"153,915",0,"246,071",6.2,0.0,8.6,"1,629",0,"3,471",231,0,498,"1,629",0,"3,471",231,0,498,17.200,0.000
2023,3287,"Central Valley Elec Coop, Inc",NM,SWPP,0,79,189,0.0,0.0,0.0,0,79,198,0.0,0.0,0.0,0,30,32,0,0,114,0,30,32,0,0,114,0.000,1.000
2023,3295,City of Centralia - (WA),WA,BPAT,90,387,509,0.0,0.1,0.1,"1,086","4,648","6,206",0.0,0.1,0.1,21,74,109,.,.,.,21,74,109,.,.,.,12.000,12.000
2023,3400,City of Chaska - (MN),MN,MISO,"2,111",867,"3,482",0.3,0.2,0.7,"21,109","8,673","34,819",0.3,0.2,0.7,62,24,191,70,29,115,62,24,191,70,29,115,10.000,10.000
2023,3413,PUD No 1 of Chelan County,WA,CHPD,"8,059","3,246","13,515",1.8,0.6,3.5,"185,805","165,195","449,427",1.8,0.6,3.5,"3,883",208,"5,838",411,23,814,"3,883",208,"5,838",411,23,814,13.310,12.350
2023,3461,Cheyenne Light Fuel & Power,WY,WACM,"2,148",.,"2,213",0.7,.,0.7,"32,215",.,"33,196",0.7,.,0.7,343,.,373,226,.,307,343,.,373,226,.,307,15.000,.
2023,3477,City of Chicopee - (MA),MA,ISNE,864,200,"1,218",0.2,0.0,0.3,"12,963","3,003","17,505",0.2,0.0,0.3,162,33,373,64,13,183,162,33,373,64,13,183,15.000,15.000
2023,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,0,0,65,0.0,0.0,0.0,0,0,982,0.0,0.0,0.0,0,0,16,0,0,0,0,0,16,0,0,0,0.000,0.000
2023,3644,PUD No 1 of Clallam County,WA,BPAT,325,0,872,0.0,0.0,0.2,"4,176",0,"13,276",0.0,0.0,0.2,177,0,500,37,0,240,177,0,500,37,0,240,12.848,.
2023,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"9,688","15,810","53,276",2.0,3.2,10.9,"116,256","189,720","389,310",2.0,3.2,10.9,"2,213","2,983","7,289",90,0,"1,099","2,213","2,983","7,289",90,0,"1,099",12.000,12.000
2023,3755,Cleveland Electric Illum Co,OH,PJM,"4,306",566,"11,372",0.7,0.1,2.6,"33,833","6,779","104,563",0.7,0.1,2.6,257,22,"4,050",193,93,"1,977",257,22,"4,050",193,93,"1,977",7.857,11.973
2023,3828,Cloverland Electric Co-op,MI,MISO,"1,336",0,"2,209",0.2,0.0,0.2,"19,173",0,"29,009",0.2,0.0,0.2,96,0,429,128,0,393,96,0,429,128,0,393,14.350,0.000
2023,3841,Coast Electric Power Assn - (MS),MS,SOCO,36,0,"3,698",0.0,0.0,0.8,536,0,"20,422",0.0,0.0,0.8,7,0,296,0,0,3,7,0,296,0,0,3,15.000,0.000
2023,3915,Coldwater Board of Public Util,MI,MISO,266,"1,209","1,568",0.6,2.8,3.5,266,"1,209","1,568",0.6,2.8,3.5,23,51,77,4,4,10,23,51,77,4,4,10,1.000,1.000
2023,3940,City of College Station - (TX),TX,ERCO,0,.,616,0.0,.,0.4,0,.,"8,000",0.0,.,0.4,0,.,196,0,.,122,0,.,196,0,.,122,0.000,.
2023,3989,City of Colorado Springs - (CO),CO,WACM,990,0,"1,139",0.5,0.0,0.5,"14,844",0,"16,786",0.5,0.0,0.5,231,0,239,742,0,881,231,0,239,742,0,881,15.000,0.000
2023,4003,City of Colton - (CA),CA,CISO,31,0,"4,064",0.0,0.0,1.6,542,0,"92,985",0.0,0.0,1.6,0,0,0,257,0,995,0,0,0,257,0,995,18.610,0.000
2023,4041,"Columbia Rural Elec Assn, Inc",WA,BPAT,285,"1,676","2,292",0.1,0.3,0.4,"5,739","16,981","27,071",0.1,0.3,0.4,87,323,489,.,.,.,87,323,489,.,.,.,20.210,10.130
2023,4045,City of Columbia - (MO),MO,MISO,"1,828",.,"2,544",0.3,.,0.6,"27,420",.,"42,456",0.3,.,0.6,104,.,371,120,.,300,104,.,371,120,.,300,15.000,.
2023,4110,Commonwealth Edison Co,IL,PJM,"756,720",.,"1,711,286",130.0,.,216.0,"9,244,884",.,"19,875,823",130.0,.,216.0,"180,076",.,"272,808","54,751",.,"107,565","180,076",.,"272,808","54,751",.,"107,565",12.380,.
2023,4176,Connecticut Light & Power Co,CT,ISNE,"153,395","45,819","212,049",26.0,7.8,39.8,"1,209,307","361,222","1,698,430",26.0,7.8,39.8,"37,990","11,348","128,326","14,032","3,594","25,529","37,990","11,348","128,326","14,032","3,594","25,529",7.884,7.884
2023,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"203,656",.,"468,451",39.7,.,79.5,"2,243,469",.,"4,337,936",38.7,.,66.5,"51,998",.,"70,988","10,636",.,"17,763","104,728",.,"129,497","12,866",.,"21,320",11.020,.
2023,4254,Consumers Energy Co - (MI),MI,MISO,"388,952","94,441","661,884",60.5,15.7,89.2,"4,087,437","1,119,275","6,278,253",60.5,15.7,89.2,"42,076","13,287","87,812","48,070","15,180","102,140","42,076","13,287","87,812","48,070","15,180","102,140",10.509,11.852
2023,4317,"Coos-Curry Electric Coop, Inc",OR,BPAT,936,95,"1,232",0.1,0.0,0.1,"25,850","1,146","31,591",0.1,0.0,0.1,272,8,395,.,.,.,272,8,395,.,.,.,27.630,12.000
2023,4363,Corn Belt Power Coop,IA,SWPP,754,"3,283","5,093",0.2,0.7,1.1,"9,102","49,104","78,724",0.2,0.7,1.1,47,101,311,6,25,73,47,101,311,6,25,73,12.067,14.958
2023,4401,"Cotton Electric Coop, Inc",OK,SWPP,.,.,130,.,.,0.0,.,.,"1,818",.,.,0.0,.,.,53,.,.,8,.,.,92,.,.,8,.,.
2023,4432,Coweta-Fayette El Member Corp,GA,SOCO,.,.,"1,523",.,.,1.3,.,.,"15,226",.,.,1.3,.,.,51,.,.,285,.,.,51,.,.,285,0.000,0.000
2023,4442,PUD No 1 of Cowlitz County,WA,BPAT,"1,677","70,828","73,420",0.2,8.1,8.5,"19,376","714,066","747,648",0.2,8.1,8.5,302,"2,399","3,416",178,133,715,302,"2,399","3,416",178,133,715,11.555,10.082
2023,4671,Custer Public Power District,NE,SWPP,165,191,491,0.0,0.0,0.1,"1,813","2,118","6,301",0.0,0.0,0.1,6,10,66,5,7,18,6,10,66,5,7,18,11.000,11.085
2023,4683,City of Cuyahoga Falls - (OH),OH,PJM,6,223,229,0.0,0.1,0.1,97,"3,338","3,435",0.0,0.1,0.1,3,12,15,0,0,0,3,12,15,0,0,0,15.000,15.000
2023,4743,"Consumers Power, Inc",OR,BPAT,78,309,816,0.0,0.0,0.2,758,"3,091","11,599",0.0,0.0,0.2,14,56,274,8,31,81,14,56,274,8,31,81,10.000,10.000
2023,4794,City of Danville - (VA),VA,PJM,232,86,470,0.1,0.0,0.2,"3,253","1,720","7,458",0.1,0.0,0.2,16,9,76,.,.,175,16,9,76,.,.,175,14.000,20.000
2023,4911,Dawson Power District,NE,SWPP,683,392,"1,960",0.1,0.0,0.3,"8,107","3,928","27,707",0.1,0.0,0.3,51,12,344,27,6,69,51,12,344,27,6,69,11.878,10.023
2023,5027,Delmarva Power,MD,PJM,"37,030",.,"53,170",15.1,.,18.2,"476,724",.,"559,430",15.1,.,18.2,"11,143",.,"15,083","4,885",.,"8,943","11,143",.,"15,083","4,885",.,"8,943",12.900,.
2023,5063,City of Denton - (TX),TX,ERCO,.,.,334,.,.,0.1,.,.,"5,010",.,.,0.1,.,.,273,.,.,40,.,.,273,.,.,40,.,.
2023,5070,Delaware Electric Cooperative,DE,PJM,242,.,916,0.0,.,25.0,"1,620",.,"4,399",0.0,.,13.0,968,.,"1,313",108,.,142,968,.,"1,313",108,.,142,10.000,.
2023,5109,DTE Electric Company,MI,MISO,"624,402",0,"877,809",147.2,0.0,196.9,"7,441,958",0,"8,752,275",130.2,0.0,168.0,0,0,0,"87,533",0,"178,916",0,0,0,"87,533",0,"178,916",9.830,0.000
2023,5175,Dixie Electric Power Assn - (MS),MS,MISO,.,.,"2,661",.,.,0.1,.,.,"7,240",.,.,0.1,.,.,4,.,.,463,.,.,4,.,.,463,.,.
2023,5204,Dixie Electric Coop - (AL),AL,SOCO,.,.,15,.,.,.,.,.,146,.,.,.,.,.,6,.,.,.,.,.,6,.,.,.,.,.
2023,5416,"Duke Energy Carolinas, LLC",NC,DUK,"177,044",.,"577,869",29.3,.,102.2,"2,486,143",.,"4,369,289",29.3,.,102.2,"23,289",.,"41,924","11,508",.,"27,598","23,289",.,"41,924","11,508",.,"27,598",14.043,.
2023,5416,"Duke Energy Carolinas, LLC",SC,DUK,"62,688",.,"204,611",10.4,.,36.2,"546,288",.,"1,213,070",10.4,.,36.2,"8,246",.,"14,845","4,075",.,"9,772","8,246",.,"14,845","4,075",.,"9,772",8.714,.
2023,5417,Dunn County Electric Coop,WI,MISO,106,.,545,0.0,.,0.0,"1,413",.,"9,920",0.0,.,0.0,1,.,65,2,.,101,1,.,65,2,.,101,13.328,.
2023,5487,Duquesne Light Co,PA,PJM,"63,340","16,913","100,680",12.5,2.1,17.9,"561,549","239,185","910,793",12.5,2.1,17.9,"10,310",904,"13,360","5,662","1,397","12,079","10,310",904,"13,360","5,662","1,397","12,079",9.712,9.997
2023,5580,"East Kentucky Power Coop, Inc",KY,PJM,.,.,"5,276",.,.,2.3,.,.,"94,826",.,.,2.3,.,.,"1,044",.,.,169,.,.,"1,044",.,.,169,.,.
2023,5605,Eastern Iowa Light & Power Coop,IA,MISO,235,0,529,0.0,0.0,0.1,"3,050",0,"8,591",0.0,0.0,0.1,3,0,100,0,0,23,3,0,100,0,0,23,13.000,0.000
2023,5701,El Paso Electric Co,NM,EPE,"10,890",0,"17,515",1.8,0.0,3.5,"29,253",0,"108,161",1.8,0.0,3.5,"1,145",0,"2,796","1,137",0,"2,091","1,145",0,"2,796","1,137",0,"2,091",12.000,.
2023,5701,El Paso Electric Co,TX,EPE,"15,353",0,"20,828",3.5,0.0,5.5,"226,298",0,"300,539",3.5,0.0,5.5,920,0,"2,146",106,0,172,920,0,"2,146",106,0,172,15.000,.
2023,5729,Electrical Dist No8 Maricopa,AZ,AZPS,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,35,.,.,.,.,35,35,.,.
2023,5773,City of Elk River,MN,MISO,488,"1,937","2,652",.,.,.,"7,207","25,637","35,292",.,.,.,22,50,150,67,78,267,22,50,150,67,78,267,14.780,13.280
2023,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,285,414,843,0.0,0.0,0.1,"3,144","3,395","8,763",0.0,0.0,0.1,12,29,87,9,20,33,12,29,87,9,20,33,11.013,8.195
2023,5832,Elmhurst Mutual Power & Light Co,WA,BPAT,895,.,"1,099",0.2,.,0.2,"11,010",.,"14,528",0.2,.,0.2,104,.,180,.,.,.,104,.,180,.,.,.,12.310,.
2023,5860,Empire District Electric Co,MO,SWPP,"11,653",.,"13,291",0.6,.,0.9,"141,941",.,"162,959",0.6,.,1.0,"1,845",.,"2,158",225,.,611,"1,845",.,"2,158",225,.,611,13.181,.
2023,5862,"Empire Electric Assn, Inc",CO,WACM,205,.,"1,871",0.1,.,0.2,"2,698",.,"27,580",0.1,.,0.2,8,.,347,0,.,0,8,.,347,0,.,0,17.990,.
2023,5930,Village of Fairport - (NY),NY,NYIS,231,0,"2,409",0.6,0.0,21.8,"2,776",0,"24,552",0.6,0.0,21.9,88,0,440,10,0,47,88,0,440,10,0,47,12.000,.
2023,6022,City of Eugene - (OR),OR,BPAT,"7,778","3,583","14,320",1.0,0.1,1.8,"133,004","53,745","233,797",1.0,0.1,1.8,434,305,"2,845",0,539,539,434,305,"2,845",0,539,539,17.100,15.000
2023,6198,"Farmers Electric Coop, Inc - (NM)",NM,SWPP,.,.,88,.,.,0.2,.,.,88,.,.,0.2,.,.,16,.,.,0,.,.,16,.,.,0,.,.
2023,6374,Fitchburg Gas & Elec Light Co,MA,ISNE,"3,030",573,"5,408",0.4,0.1,1.1,"24,873","4,700","37,849",0.4,0.1,1.1,"1,047",122,"2,109",516,60,979,"1,047",122,"2,109",516,60,979,8.209,8.202
2023,6395,Flathead Electric Coop Inc,MT,BPAT,"5,364","5,190","15,720",.,.,.,"75,042","72,037","225,963",.,.,.,730,690,"2,108",.,.,.,.,.,.,.,.,.,13.990,13.880
2023,6452,Florida Power & Light Co,FL,FPL,"47,245",.,"79,568",11.0,.,23.0,"1,021,469",.,"1,462,877",11.0,.,23.0,"1,873",.,"6,493","1,194",.,"6,318","1,873",.,"6,493","1,194",.,"6,318",22.000,.
2023,6455,"Duke Energy Florida, LLC",FL,FPC,"9,744",.,"57,628",4.7,.,27.9,"126,022",.,"702,535",4.7,.,27.9,553,.,"9,565","2,072",.,"9,344",553,.,"9,565","2,072",.,"9,344",12.900,.
2023,6457,Florida Public Utilities Co,FL,JEA,0,0,190,0.0,0.0,0.2,0,0,"1,898",0.0,0.0,0.2,0,0,83,25,0,83,0,0,83,25,0,83,10.000,0.000
2023,6604,City of Fort Collins - (CO),CO,PSCO,"6,095","6,095","30,858",0.4,0.4,1.0,"39,112","39,112","156,363",0.4,0.4,1.0,945,945,"3,901",344,344,"1,433",945,945,"3,901",344,344,"1,433",6.400,6.400
2023,6616,Fort Pierce Utilities Authority,FL,,.,.,120,.,.,0.0,.,.,"1,895",.,.,0.0,.,.,25,.,.,2,.,.,25,.,.,2,.,.
2023,6640,Four County Elec Member Corp,NC,CPLE,.,.,"28,560",.,.,1.3,.,.,"334,790",.,.,1.3,.,.,14,.,.,454,.,.,14,.,.,454,.,.
2023,6716,PUD No 1 of Franklin County,WA,BPAT,"2,310","8,379","10,876",0.4,1.5,2.0,"27,857","89,278","124,933",0.3,1.0,1.2,282,455,"1,162",0,0,0,282,455,"1,162",0,0,0,12.060,10.660
