Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,6782,Freeborn Mower Electric Cooperative,MN,MISO,"3,658",124,"6,284",0.3,0.0,0.4,"50,805","1,641","90,421",0.3,0.0,0.4,134,3,474,58,0,360,134,3,474,58,0,360,13.889,13.233
2023,6784,French Broad Elec Member Corp,NC,CPLE,65,.,"5,476",0.0,.,1.1,650,.,"25,000",0.0,.,1.1,.,.,.,5,.,107,.,.,.,5,.,107,12.000,.
2023,6909,Gainesville Regional Utilities,FL,GVL,.,.,718,.,.,0.1,.,.,"10,770",.,.,0.1,.,.,797,.,.,.,.,.,797,.,.,.,.,.
2023,7004,"Buckeye Power, Inc",OH,PJM,"5,012",.,"6,222",0.9,.,1.3,"35,321",.,"56,446",0.9,.,1.3,198,.,737,0,.,0,198,.,737,0,.,0,7.000,.
2023,7140,Georgia Power Co,GA,SOCO,"159,333",.,"278,502",24.3,.,37.8,"4,313,600",.,"5,093,031",92.6,.,104.4,"13,166",.,"27,460","12,835",.,"25,520","289,844",.,"495,994","198,028",.,"334,853",11.975,.
2023,7264,"Glades Electric Coop, Inc",FL,SEC,4,0,58,0.0,0.0,0.0,50,0,715,0.0,0.0,0.0,0,0,0,1,0,44,0,0,0,1,0,44,12.000,0.000
2023,7294,City of Glendale - (CA),CA,LDWP,"8,599",.,"18,622",1.4,.,3.6,"103,185",.,"133,531",1.4,.,3.6,"3,933",.,"6,536",256,.,347,"3,933",.,"6,536",256,.,347,12.000,.
2023,7353,Golden Valley Elec Assn Inc,AK,NA,.,.,15,.,.,0.0,.,.,641,.,.,0.0,.,.,0,.,.,2,.,.,0,.,.,13,.,.
2023,7483,City of Grand Haven - (MI),MI,MISO,372,372,"1,085",0.0,0.0,0.1,"3,464","3,464","8,589",0.0,0.0,0.1,21,21,98,82,82,180,21,21,98,82,82,180,6.530,6.530
2023,7548,PUD No 1 of Grays Harbor County,WA,BPAT,615,"1,684","3,216",0.1,0.2,0.4,"6,770","16,835","41,937",0.1,0.2,0.4,138,189,974,11,3,298,138,189,974,11,3,298,11.000,10.000
2023,7563,Grand Valley Power,CO,PSCO,.,.,10,.,.,0.0,.,.,108,.,.,0.0,.,.,0,.,.,2,.,.,0,.,.,2,.,.
2023,7570,Great River Energy,MN,MISO,"29,823",.,"63,271",4.9,.,16.7,"406,492",.,"955,703",4.9,.,16.7,"1,757",.,"5,416","1,206",.,"5,371","1,757",.,"5,416","1,206",.,"5,371",13.630,.
2023,7634,City of Greenville - (TX),TX,ERCO,.,.,3,.,.,0.0,.,.,3,.,.,0.0,.,.,2,.,.,0,.,.,2,.,.,0,.,.
2023,7716,Groton Dept of Utilities - (CT),CT,ISNE,"2,001",0,"2,164",0.2,0.0,0.2,"16,524",0,"18,710",0.2,0.0,0.2,567,0,"1,371",261,0,282,567,0,"1,371",261,0,282,8.300,0.000
2023,7785,"Gulf Coast Electric Coop, Inc",FL,SOCO,.,.,170,.,.,1.3,.,.,"1,696",.,.,1.3,.,.,34,.,.,11,.,.,34,.,.,11,.,.
2023,8319,Heartland Power Coop,IA,MISO,233,785,"1,399",0.0,0.1,0.2,"4,436","11,513","22,541",0.0,0.1,0.2,16,8,64,0,0,1,16,8,64,0,0,1,19.082,14.667
2023,8333,Haywood Electric Member Corp,NC,DUK,.,.,.,.,.,.,.,.,"2,280",.,.,2.3,.,.,2,.,.,.,.,.,2,.,.,.,.,.
2023,8449,Henderson City Utility Comm,KY,MISO,36,144,182,0.0,0.0,0.0,"5,223","20,614","25,920",0.0,0.0,0.0,2,31,33,0,0,0,39,749,791,164,0,164,10.000,10.000
2023,8566,High Plains Power Inc,WY,WACM,206,0,275,0.0,0.0,0.0,"2,470",0,"3,505",0.0,0.0,0.0,0,0,17,0,0,0,39,0,67,0,0,0,12.000,.
2023,8570,Highline Electric Assn,CO,WACM,53,160,958,0.0,0.1,0.2,637,"2,756","13,054",0.0,0.1,0.2,0,13,81,.,.,.,0,13,81,.,.,.,12.000,19.140
2023,8570,Highline Electric Assn,NE,WACM,0,130,208,0.0,0.1,0.1,.,"2,243","3,335",.,0.1,0.1,.,13,25,.,.,.,.,13,25,.,.,.,.,19.270
2023,8620,"HILCO Electric Cooperative, Inc.",TX,ERCO,.,.,380,.,.,0.1,.,.,380,.,.,0.1,.,.,37,.,.,.,.,.,37,.,.,.,.,.
2023,8699,Inland Power & Light Company,ID,BPAT,91,.,102,0.0,.,0.0,365,.,403,0.0,.,0.0,2,.,3,0,.,0,2,.,3,0,.,0,2.568,.
2023,8699,Inland Power & Light Company,WA,BPAT,"3,149",.,"3,665",0.4,.,0.4,"15,755",.,"21,770",0.4,.,0.4,"1,316",.,"1,546",.,.,.,"1,316",.,"1,546",.,.,.,14.030,.
2023,8723,City of Holland,MI,MISO,"3,443","6,393","13,675",0.5,1.1,3.9,"51,645","92,012","162,852",0.5,1.1,3.9,300,557,"1,244",158,158,475,300,557,"1,244",158,158,475,15.000,14.000
2023,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,"2,142",0,"4,322",0.8,0.0,1.9,"29,129",0,"55,561",0.8,0.0,1.9,203,0,"1,064",45,0,234,203,0,"1,064",45,0,234,13.600,0.000
2023,8774,City of Holyoke - (MA),MA,ISNE,39,0,140,0.0,0.0,0.1,975,0,"3,500",0.0,0.0,0.1,0,0,130,600,0,976,0,0,130,600,0,976,25.000,25.000
2023,8901,CenterPoint Energy,TX,ERCO,"107,252",0,"185,068",24.0,0.0,59.6,"1,486,911",0,"2,682,888",24.0,0.0,59.6,"13,577",0,"30,529","1,349",0,"2,656","13,577",0,"30,529","1,349",0,"2,656",13.967,0.000
2023,9187,City of Idaho Falls - (ID),ID,PACE,"3,263",536,"4,070",0.6,0.1,0.7,"38,656","5,360","47,812",0.6,0.1,0.7,650,67,"1,211",0,0,0,650,67,"1,211",0,0,0,11.850,10.000
2023,9191,Idaho Power Co,ID,IPCO,"37,782","65,984","136,928",4.3,7.5,15.6,"491,162","923,776","1,580,746",4.3,7.5,15.6,"3,933","9,899","14,456","4,070","5,134","15,138","3,933","9,899","14,456","4,070","5,134","15,138",13.000,14.000
2023,9191,Idaho Power Co,OR,IPCO,"1,137",984,"2,554",0.1,0.1,0.3,"14,776","13,782","30,722",0.1,0.1,0.3,152,133,312,222,215,704,152,133,312,222,215,704,13.000,14.000
2023,9216,Imperial Irrigation District,CA,IID,"21,701",0,"28,738",1.6,0.0,5.7,"434,017",0,"501,216",1.6,0.0,5.7,824,0,"2,422",908,0,"3,875",824,0,"2,422",908,0,"3,875",20.000,0.000
2023,9231,City of Independence - (MO),MO,SWPP,0,0,384,0.0,0.0,0.4,0,0,"4,528",0.0,0.0,0.3,111,.,170,.,.,24,111,.,170,.,.,24,.,.
2023,9234,Indiana Municipal Power Agency,IN,MISO,11,.,31,0.0,.,0.0,55,.,155,0.0,.,0.0,2,.,4,.,.,.,2,.,4,.,.,.,5.000,.
2023,9267,"Hoosier Energy R E C, Inc",IN,MISO,"1,691",.,"4,850",0.3,.,1.9,"19,391",.,"75,955",0.3,.,1.9,153,.,"1,531",.,.,.,153,.,"1,531",.,.,.,11.467,.
2023,9273,AES Indiana,IN,MISO,"115,808",.,"177,107",16.4,.,27.0,"1,508,978",.,"1,809,956",16.4,.,27.0,"13,985",.,"17,432","7,552",.,"21,272","13,985",.,"17,432","7,552",.,"21,272",13.030,.
2023,9286,Illinois Municipal Elec Agency,IL,MISO,.,"4,990","5,154",.,0.8,0.8,.,"19,958","20,615",.,0.8,0.8,.,837,847,.,41,46,.,837,847,.,41,46,.,4.000
2023,9324,Indiana Michigan Power Co,IN,PJM,"72,326",.,"93,352",12.0,.,21.7,"660,701",.,"871,950",12.0,.,21.7,"4,008",.,"4,408","3,957",.,"5,443","4,008",.,"4,408","3,957",.,"5,443",9.100,.
2023,9324,Indiana Michigan Power Co,MI,PJM,"25,802","1,163","37,526",6.0,0.3,7.8,"134,934","1,992","219,693",6.0,0.3,7.8,"1,564",69,"2,166","1,384",61,"2,610","1,564",69,"2,166","1,384",61,"2,610",5.200,1.700
2023,9417,Interstate Power and Light Co,IA,MISO,"18,801","19,043","70,628",3.1,5.5,11.4,"211,849","171,427","556,769",3.1,5.5,11.4,"1,953","3,964","7,179","1,796","2,009","10,380","1,953","3,964","7,179","1,796","2,009","10,380",11.268,9.002
2023,9576,Jackson County Rural E M C - (IN),IN,MISO,.,.,410,.,.,0.2,.,.,"4,099",.,.,0.2,.,.,147,.,.,131,.,.,147,.,.,131,.,.
2023,9601,Jackson Electric Member Corp - (GA),GA,SOCO,826,171,"3,087",0.2,0.0,0.8,"4,289",886,"23,158",0.2,0.0,0.9,0,2,"2,450",0,0,0,0,2,"2,450",0,0,0,5.000,5.000
2023,9617,JEA,FL,JEA,"13,934",.,"40,180",3.0,.,7.8,"178,477",.,"398,699",0.6,.,2.5,929,.,"2,096",454,.,"1,752",929,.,"2,096",454,.,"1,752",12.810,.
2023,9689,Jefferson Electric Member Corp,GA,SOCO,563,.,"3,473",.,.,.,"5,955",.,"30,374",.,.,.,.,.,.,10,.,45,.,.,.,47,.,795,19.000,.
2023,9699,"Jemez Mountains Elec Coop, Inc",NM,WALC,371,.,714,0.1,.,0.1,"4,454",.,"9,574",0.1,.,0.1,18,.,73,.,.,.,18,.,73,.,.,.,12.000,.
2023,9726,Jersey Central Power & Lt Co,NJ,PJM,"73,131","5,308","179,915",14.0,1.0,26.1,"932,503","73,176","2,299,439",14.0,1.0,26.1,"26,269","1,095","42,955","6,472",270,"18,889","26,269","1,095","42,955","6,472",270,"18,889",12.751,13.786
2023,9750,"Jo-Carroll Energy, Inc",IL,MISO,701,.,"1,093",0.0,.,0.1,"9,146",.,"15,284",0.0,.,0.1,15,.,64,.,.,.,15,.,64,.,.,.,13.046,.
2023,9778,Johnson County Rural E M C,IN,MISO,.,397,529,.,0.1,0.1,.,"5,955","8,331",.,0.1,0.1,.,5,92,.,.,.,.,5,92,.,.,.,.,15.000
2023,9996,City of Kansas City - (KS),KS,SWPP,0,0,198,0.0,0.0,0.4,0,0,"1,980",0.0,0.0,0.4,0,0,145,0,0,0,0,0,145,0,0,0,.,.
2023,10000,Evergy Metro,MO,SWPP,"22,342",.,"32,120",4.5,.,7.6,"261,741",.,"359,214",4.5,.,7.6,"3,414",.,"6,559","1,419",.,"3,674","3,414",.,"6,559","1,419",.,"3,674",11.700,.
2023,10066,K C Electric Association,CO,WACM,244,.,528,0.1,.,0.1,"2,929",.,"7,202",0.1,.,0.1,10,.,79,.,.,.,10,.,79,.,.,.,12.000,.
2023,10071,Kauai Island Utility Cooperative,HI,NA,679,6,"2,450",0.6,0.0,1.5,"10,936",96,"43,791",0.6,0.0,1.9,114,1,413,27,0,97,114,1,413,27,0,97,14.270,0.130
2023,10171,Kentucky Utilities Co,KY,LGEE,"20,633",0,"22,940",4.0,0.0,4.0,"412,655",0,"458,794",4.0,0.0,4.0,1,0,1,1,0,7,1,0,1,1,0,7,20.000,0.000
2023,10376,Kissimmee Utility Authority,FL,,141,0,357,79.9,0.0,79.9,"1,694",0,"4,646",79.9,0.0,79.9,9,0,94,0,0,0,9,0,94,7,0,246,12.044,0.000
2023,10393,PUD No 1 of Klickitat County,WA,BPAT,451,"1,253","1,821",.,.,.,"5,603","15,036","23,003",.,.,.,77,196,340,.,.,.,77,196,340,.,.,.,12.430,12.000
2023,10454,Kootenai Electric Cooperative,ID,AVA,151,0,319,0.0,0.0,0.1,"1,857",0,"4,932",0.0,0.0,0.1,30,0,112,34,0,72,30,0,112,34,0,72,12.333,0.000
2023,10539,"La Plata Electric Assn, Inc",CO,WACM,"1,172",.,"3,876",0.2,.,0.5,"14,063",.,"54,787",0.2,.,0.5,108,.,"1,235",0,.,0,108,.,"1,235",0,.,0,12.000,.
2023,10623,City of Lakeland - (FL),FL,FMPP,476,0,"2,407",0.2,0.0,1.3,"2,857",0,"24,382",0.5,0.0,1.8,27,0,441,0,0,0,27,0,441,0,0,0,14.045,0.000
2023,10627,Lakeview Light & Power,WA,BPAT,517,33,563,0.1,0.0,0.1,"6,681",398,"7,202",0.1,0.0,0.1,86,2,91,.,.,.,86,2,91,.,.,.,12.000,12.000
2023,10681,Lane Electric Coop Inc,OR,BPAT,98,.,278,0.0,.,0.1,"1,352",.,"4,557",0.0,.,0.1,24,.,170,.,.,.,24,.,170,.,.,.,13.790,.
2023,10704,City of Lansing - (MI),MI,MISO,"14,756","8,650","29,493",2.2,1.7,4.8,"191,824","112,452","368,804",2.8,2.2,6.0,"1,230",169,"2,014",669,393,"1,548","1,230",169,"2,014",669,393,"1,548",13.000,13.000
2023,10857,"Lee County Electric Coop, Inc - (FL)",FL,FPL,0,.,"56,562",0.0,.,0.0,0,.,"452,496",0.0,.,0.0,0,.,0,0,.,74,0,.,0,0,.,74,0.000,.
2023,10868,City of Leesburg - (FL),FL,FPC,.,.,35,.,.,0.0,.,.,510,.,.,0.0,.,.,20,.,.,0,.,.,20,.,.,0,.,.
2023,10879,Lehi City Corporation,UT,PACE,.,.,52,.,.,.,.,.,632,.,.,.,.,.,4,.,.,.,.,.,4,.,.,.,.,.
2023,10944,PUD No 1 of Lewis County,WA,BPAT,"1,279","3,625","5,772",1.9,1.7,4.0,"16,004","36,481","69,158",1.9,1.7,4.0,372,230,"1,392",96,59,357,372,230,"1,392",96,59,357,12.510,10.060
2023,10967,City of Lexington - (NE),NE,SWPP,2,0,197,0.0,0.0,0.0,29,0,"2,555",0.0,0.0,0.0,0,0,61,0,0,19,0,0,61,0,0,19,14.996,0.000
2023,11018,Lincoln Electric System,NE,SWPP,"1,535","7,930","10,091",0.5,1.6,2.9,"18,420","95,160","121,092",0.5,1.6,2.9,190,716,"2,154",81,81,244,190,716,"2,154",81,81,244,12.000,12.000
2023,11053,Linn County REC,IA,MISO,465,0,751,0.2,0.0,0.3,"7,203",0,"12,351",0.2,0.0,0.3,43,0,199,3,0,27,43,0,199,3,0,27,15.490,.
2023,11124,City of Lodi - (CA),CA,CISO,901,.,"1,219",0.1,.,0.2,"9,550",.,"12,835",0.1,.,0.2,155,.,383,6,.,90,155,.,383,6,.,90,10.965,.
2023,11135,City of Logan - (UT),UT,PACE,13,.,27,0.0,.,0.0,127,.,634,0.2,.,0.2,1,.,4,5,.,6,1,.,4,5,.,6,10.000,.
2023,11171,Long Island Power Authority,NY,NYIS,"53,016",.,"223,037",15.1,.,34.3,"848,248",.,"3,166,445",15.0,.,34.0,"19,960",.,"53,724","9,007",.,"31,830","19,960",.,"53,724","9,007",.,"31,830",16.000,.
2023,11187,City of Longmont,CO,PSCO,"3,580",.,"4,125",0.5,.,0.5,"45,397",.,"52,563",0.5,.,0.5,"1,182",.,"1,631",377,.,709,"1,182",.,"1,631",377,.,709,12.682,.
2023,11208,Los Angeles Department of Water & Power,CA,LDWP,"116,171",0,"145,661",18.6,0.0,29.3,"1,101,239",0,"1,422,710",18.6,0.0,29.3,"48,070",0,"67,752","22,505",0,"48,607","48,070",0,"67,752","22,505",0,"48,607",11.237,0.000
2023,11241,Entergy Louisiana LLC,LA,MISO,"32,634",.,"73,363",3.4,.,11.2,"454,663",.,"1,048,309",3.4,.,11.2,"3,021",.,"7,511","2,114",.,"4,742","3,021",.,"7,511","2,114",.,"4,742",14.198,.
2023,11249,Louisville Gas & Electric Co,KY,LGEE,"33,386",0,"36,225",5.9,0.0,5.9,"667,712",0,"724,487",5.9,0.0,5.9,1,0,1,1,0,7,1,0,1,1,0,7,20.000,0.000
2023,11251,Loup River Public Power Dist,NE,SWPP,623,297,"1,735",0.1,0.0,0.3,"6,879","2,078","19,250",0.1,0.0,0.3,29,22,275,27,11,82,29,22,295,27,11,82,11.047,7.000
2023,11256,City of Loveland - (CO),CO,PSCO,"3,676",0,"5,009",0.6,0.0,0.9,"48,794",0,"58,021",0.6,0.0,0.9,"1,187",0,"1,561",335,0,823,"1,187",0,"1,561",335,0,823,13.275,0.000
2023,11291,Lumbee River Elec Member Corp,NC,CPLE,.,.,"4,983",.,.,.,.,.,"5,418",.,.,.,.,.,1,.,.,1,.,.,1,.,.,1,.,.
2023,11475,City of Madison - (SD),SD,MISO,.,.,2,.,.,0.0,.,.,"1,542",.,.,0.0,.,.,1,.,.,0,.,.,68,.,.,0,.,.
2023,11501,Magic Valley Electric Coop Inc,TX,ERCO,.,.,45,.,.,2.1,.,.,195,.,.,2.1,.,.,10,.,.,.,.,.,10,.,.,.,.,.
2023,11571,Manitowoc Public Utilities,WI,MISO,.,.,52,.,.,0.0,.,.,52,.,.,0.0,.,.,16,.,.,0,.,.,16,.,.,0,.,.
2023,11646,City of Marietta - (GA),GA,SOCO,.,.,72,.,.,0.0,.,.,776,.,.,0.0,.,.,5,.,.,3,.,.,0,.,.,34,.,.
2023,11701,City of Marquette - (MI),MI,MISO,0,.,39,0.0,.,0.0,0,.,136,0.0,.,0.0,0,.,5,9,.,13,0,.,5,9,.,13,0.000,.
2023,11731,City of Marshall - (MN),MN,MISO,341,279,689,0.1,0.0,0.2,"6,783","2,347","9,842",0.1,0.0,0.2,29,10,67,11,4,35,29,10,67,11,4,35,19.880,8.420
2023,11804,Massachusetts Electric Co,MA,ISNE,"90,303","55,347","216,931",14.1,8.7,53.8,"750,113","459,747","1,412,398",14.1,8.7,53.8,41,7,247,28,5,88,41,7,247,28,5,88,8.310,8.310
2023,11811,Town of Massena - (NY),NY,NYIS,121,.,276,0.0,.,0.0,"1,937",.,"2,805",0.0,.,0.0,5,.,20,81,.,96,5,.,20,81,.,96,14.260,.
2023,12087,McKenzie Electric Coop Inc,ND,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.
2023,12187,City of McMinnville - (OR),OR,BPAT,313,0,"2,476",0.1,0.0,0.5,"3,607",0,"41,457",0.1,0.0,0.5,67,0,765,9,0,70,67,0,765,9,0,70,11.667,0.000
2023,12199,Montana-Dakota Utilities Co,MT,SWPP,413,.,419,0.0,.,0.0,"5,865",.,"5,923",0.0,.,0.0,36,.,37,.,.,.,36,.,37,.,.,.,10.000,.
2023,12312,Merced Irrigation District,CA,CISO,262,.,268,0.0,.,0.0,262,.,268,0.0,.,0.0,21,.,34,.,.,.,21,.,34,.,.,.,1.000,.
2023,12341,MidAmerican Energy Co,IA,MISO,"52,828","18,520","109,312",10.1,2.7,24.9,"1,004,490","262,478","1,358,714",10.5,2.6,19.1,"8,271","2,588","14,552","3,426","1,102","6,087","8,271","2,588","14,552","3,426","1,102","6,087",19.010,14.170
2023,12341,MidAmerican Energy Co,IL,MISO,"4,545","1,991","14,083",0.7,0.2,3.3,"56,288","26,715","97,390",0.7,0.2,1.4,635,342,"1,466",231,99,581,635,342,"1,466",231,99,581,12.390,13.420
2023,12390,Metropolitan Edison Co,PA,PJM,"19,981","37,791","88,476",3.3,4.7,12.8,"261,234","522,126","1,110,551",3.3,4.7,12.8,"5,369","1,832","13,551","1,540","1,477","6,111","5,369","1,832","13,551","1,540","1,477","6,111",13.074,13.816
2023,12395,Menard Electric Coop,IL,MISO,.,.,22,.,.,0.0,.,.,330,.,.,0.0,.,.,2,.,.,0,.,.,2,.,.,0,.,.
2023,12450,Midland Power Coop,IA,MISO,9,.,489,0.0,.,0.1,70,.,"9,510",0.0,.,0.1,20,.,143,2,.,68,20,.,143,2,.,68,15.000,.
2023,12478,Town of Middletown - (DE),DE,PJM,423,0,438,0.1,0.0,0.1,"6,210",0,"6,296",0.1,0.0,0.1,22,0,28,34,0,45,22,0,28,34,0,45,14.670,0.000
2023,12539,Midwest Electric Member Corp - (NE),NE,WACM,53,526,961,0.0,0.3,0.4,637,"9,019","15,486",0.0,0.5,0.5,3,46,137,.,.,.,3,46,137,.,.,.,12.000,19.060
2023,12647,"ALLETE, Inc.",MN,MISO,"48,555",.,"67,342",4.3,.,6.5,"639,718",.,"913,973",2.8,.,4.4,"2,618",.,"4,568","3,370",.,"5,178","2,618",.,"4,568","3,370",.,"5,178",13.175,.
2023,12685,Entergy Mississippi LLC,MS,MISO,"29,354",.,"57,872",5.8,.,10.8,"369,399",.,"641,581",5.8,.,10.8,"5,480",.,"11,799","2,267",.,"5,441","5,480",.,"11,799","2,267",.,"5,441",12.584,.
2023,12686,Mississippi Power Co,MS,SOCO,"11,792",0,"25,662",3.1,0.0,6.7,"112,262",0,"182,862",3.1,0.0,6.7,"1,298",0,"2,888",580,0,"1,956","1,298",0,"2,888",580,0,"1,956",9.520,0.000
2023,12692,"Missoula Electric Coop, Inc",MT,BPAT,146,54,940,0.1,0.0,0.4,"3,761",257,"10,029",0.0,0.0,0.0,29,0,191,15,6,224,75,5,406,79,14,497,12.000,10.000
2023,12698,Evergy Missouri West,MO,SWPP,"12,857",.,"27,184",2.8,.,7.0,"156,674",.,"297,526",2.8,.,7.0,"2,220",.,"5,296","1,528",.,"3,720","2,220",.,"5,296","1,528",.,"3,720",12.200,.
2023,12744,Modern Electric Water Company,WA,AVA,319,.,348,0.1,.,0.1,"3,827",.,"4,573",0.1,.,0.1,52,.,63,54,.,59,52,.,63,54,.,59,12.000,.
2023,12745,Modesto Irrigation District,CA,BANC,"2,985","2,069","5,534",0.2,0.3,0.6,"44,779","31,032","81,825",0.2,0.3,0.6,254,165,834,383,282,769,254,165,834,383,282,769,14.999,15.000
2023,12825,NorthWestern Energy LLC - (MT),MT,NWMT,"42,937",.,"55,590",0.0,.,0.0,"606,024",.,"791,417",0.0,.,0.0,"2,685",.,"3,606","3,474",.,"7,411","2,685",.,"3,606","3,474",.,"7,411",14.110,.
2023,12894,City of Moorhead - (MN),MN,SWPP,119,543,993,0.0,0.1,0.2,"1,533","6,984","14,227",0.0,0.1,0.2,6,27,61,6,28,64,6,27,61,6,28,64,12.855,12.855
2023,13050,"Mountain Parks Electric, Inc",CO,WACM,316,0,558,0.1,0.0,0.1,"3,789",0,"7,310",0.1,0.0,0.1,12,0,62,0,0,0,12,0,62,0,0,0,12.000,0.000
2023,13058,"Mountain View Elec Assn, Inc",CO,WACM,341,.,"1,608",0.1,.,0.3,"4,090",.,"22,724",0.1,.,0.3,21,.,254,4,.,20,21,.,254,4,.,20,12.000,.
2023,13143,Board of Water Electric & Communications,IA,MISO,45,.,143,0.0,.,0.0,586,.,"2,079",0.0,.,0.0,10,.,50,.,.,.,22,.,80,.,.,.,13.058,.
2023,13208,City of Naperville - (IL),IL,PJM,.,.,158,.,.,4.0,.,.,"4,608",.,.,4.0,.,.,4,.,.,7,.,.,273,.,.,14,.,.
2023,13214,The Narragansett Electric Co,RI,ISNE,"49,629","21,779","113,814",7.2,3.2,16.1,"404,480","177,506","816,521",7.2,3.2,16.1,"28,824","12,649","73,910","6,301","2,765","21,931","28,824","12,649","73,910","6,301","2,765","21,931",8.150,8.150
2023,13337,Nebraska Public Power District,NE,SWPP,"2,223",370,"3,384",0.4,0.0,0.5,"24,774","5,556","41,933",0.4,0.0,0.5,114,26,402,103,5,127,114,26,402,103,5,127,11.143,15.000
2023,13407,Nevada Power Co,NV,NEVP,"149,431",0,"240,200",36.2,0.0,70.4,"1,593,813",0,"2,354,376",36.2,0.0,70.4,"5,434",0,"12,113","8,867",0,"20,235","5,434",0,"12,113","8,867",0,"20,235",10.700,0.000
2023,13441,New Hampshire Elec Coop Inc,NH,ISNE,"3,744",.,"5,489",0.5,.,0.7,"42,508",.,"68,790",0.5,.,0.7,959,.,"3,294",332,.,956,959,.,"3,294",332,.,956,11.350,.
2023,13478,"Entergy New Orleans, LLC",LA,MISO,"26,473","1,010","69,212",3.9,0.1,11.6,"355,803","14,299","607,510",3.9,0.1,11.6,"2,873",106,"8,497","4,763",175,"8,339","2,873",106,"8,497","4,763",175,"8,339",13.968,14.156
2023,13511,New York State Elec & Gas Corp,NY,NYIS,"47,803",.,"150,407",7.9,.,19.5,"596,770",.,"1,750,878",7.9,.,19.5,"8,926",.,"31,026","1,583",.,"6,946","8,926",.,"31,026","1,583",.,"6,946",15.000,.
2023,13519,City of Newark - (DE),DE,PJM,620,.,728,.,.,.,"9,003",.,"9,782",.,.,.,31,.,36,.,.,.,700,.,775,.,.,.,10.000,0.000
2023,13573,Niagara Mohawk Power Corp.,NY,NYIS,"109,658","67,210","349,037",23.1,14.2,38.5,"1,318,708","808,240","3,138,105",23.1,14.2,38.5,"21,844","13,388","58,848","3,490","2,139","10,489","21,844","13,388","58,848","3,490","2,139","10,489",12.000,12.000
2023,13630,North Carolina Mun Power Agny #1,NC,DUK,987,281,"1,745",0.5,0.4,1.1,"9,740","3,739","18,048",0.5,0.4,1.0,154,63,279,37,29,179,154,63,279,37,29,179,9.872,13.293
2023,13664,Norris Public Power District,NE,SWPP,927,142,"1,853",0.1,0.0,0.3,"10,203","1,277","24,104",0.1,0.0,0.3,55,11,359,47,3,90,55,11,359,47,3,90,11.009,9.014
